lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
25.5,75.0,19,15.48,70.44,338.15473684210525,48.28980328203675,5.263157894736842,0.11894328283460623,20.374461758099113,Low
27.5,94.0,62,14.445483870967742,109.83,337.78887096774196,48.19291551157352,6.451612903225806,0.38813071240766245,20.359467633934145,Low
16.0,80.5,1100,6.133427272727272,78.08,338.21606363636363,47.45781910546861,1.8181818181818181,6.886190058845624,20.353263091537816,Low
30.5,77.0,1282,4.700670826833074,48.49,325.55100624024965,46.72617374663242,3.0421216848673946,8.025541504945537,20.349473150083966,Low
25.0,91.0,321,12.617538940809968,230.67,335.63660436137076,47.92907516401502,4.361370716510903,2.0095154626267684,20.28253907273856,Low
18.5,77.5,1112,5.537203237410072,31.6,338.76566546762587,47.20919389912148,2.787769784172662,6.961312132214849,20.277604234396033,Low
27.5,96.0,573,10.429668411867365,164.0,333.83767888307153,47.68459063413217,3.4904013961605584,3.587079003380493,20.251428765077474,Low
18.0,73.5,1230,5.960317073170732,88.48,331.5668780487805,46.3682749321724,2.0325203252032518,7.700012520345561,20.245707276760378,Low
26.5,82.5,1027,5.585968841285297,60.57,326.94748782862706,47.040043352395415,4.47906523855891,6.429197445849505,20.210442641294403,Low
34.5,75.0,7,10.944285714285714,19.71,341.33714285714285,47.659017939679686,14.285714285714285,0.04382120946538125,20.17844605213816,Low
27.0,91.5,6,16.41333333333333,35.73,341.28,48.68605125427214,0.0,0.0375610366846125,20.133504809933978,Low
23.5,79.5,924,6.418950216450216,71.06,337.17824675324675,47.08342302249157,4.112554112554113,5.784399649430324,20.11961827389649,Low
30.0,74.0,994,6.276790744466801,63.66,340.6845573440644,47.044224912432924,2.9175050301810868,6.222611744084137,20.113089623130207,Low
29.5,74.0,680,7.357426470588235,143.34,340.8065441176471,48.026989547203684,4.264705882352941,4.256917490922749,20.10658397258279,Low
11.0,78.5,732,8.21743169398907,165.43,341.96857923497265,47.268003350709684,4.098360655737705,4.582446475522724,20.09963399884707,Low
29.5,76.0,913,6.517480832420591,61.5,340.58856516977,47.13896336077372,3.723986856516977,5.715537748841868,20.094589943479875,Low
10.5,92.5,1,15.99,15.99,342.07,48.80684894679836,0.0,0.00626017278076875,20.08538301666006,Low
28.5,76.5,1001,6.369390609390609,107.61,335.72816183816184,46.634868893915936,3.696303696303696,6.2664329535495185,20.080410242499433,Low
13.5,79.0,851,7.244300822561692,490.15,333.0471445358402,46.93702552610056,4.230317273795535,5.327407036434206,20.07509909785589,Low
19.0,80.5,1359,4.948204562178072,178.0,333.22104488594556,45.750221803167,1.545253863134658,8.50757480906473,20.07336874982985,Low
18.5,78.5,1264,4.265806962025316,36.78,333.1867484177215,46.69963322475413,1.5822784810126582,7.912858394891699,20.073150975344586,Low
24.0,82.5,1722,2.0701800232288035,55.24,311.6332113821138,45.365559144616824,0.29036004645760743,10.780017528483786,20.068492249244393,Low
29.5,75.0,998,5.606953907815631,89.15,337.2766332665331,47.03465554418514,3.406813627254509,6.247652435207212,20.041729197383106,Low
14.0,78.5,888,6.308524774774775,68.03,338.96065315315315,46.903322307904254,4.954954954954955,5.559033429322649,20.041221723119232,Low
19.5,83.0,1199,5.669057547956631,81.45,333.93995829858216,46.15297828526308,1.9182652210175146,7.5059471641417295,20.03634527313599,Low
27.0,84.0,1368,3.5549269005847957,78.82,325.91537280701755,46.37420969621209,1.3888888888888888,8.563916364091648,20.034375364331865,Low
